order_id,order_placed_at,order_delivered_at
1523265,2023-03-01 06:34:37,2023-03-01 06:52:04.024843
1523266,2023-03-01 06:34:41,2023-03-01 06:50:08.894056
1523267,2023-03-01 06:36:46,2023-03-01 06:53:34.939294
1523268,2023-03-01 06:38:11,2023-03-01 06:53:21.450845
1523269,2023-03-01 06:38:30,2023-03-01 06:57:26.993433
1523270,2023-03-01 06:43:17,2023-03-01 06:58:22.769316
1523271,2023-03-01 06:45:29,2023-03-01 07:02:33.074383
1523272,2023-03-01 06:48:45,2023-03-01 07:04:03.575604
1523273,2023-03-01 06:50:58,2023-03-01 07:06:48.674518
1523274,2023-03-01 07:00:26,2023-03-01 07:16:02.696773
1523275,2023-03-01 07:03:47,2023-03-01 07:20:02.950959
1523276,2023-03-01 07:05:46,2023-03-01 07:22:57.171077
1523277,2023-03-01 07:06:12,2023-03-01 07:21:35.111628
1523278,2023-03-01 07:08:49,2023-03-01 07:30:01.953413
1523279,2023-03-01 07:14:00,2023-03-01 07:29:07.334348
1523280,2023-03-01 07:14:20,2023-03-01 07:37:10.509323
1523281,2023-03-01 07:16:35,2023-03-01 07:33:21.323027
1523282,2023-03-01 07:19:13,2023-03-01 07:35:10.251249
1523283,2023-03-01 07:19:50,2023-03-01 07:35:06.624468
1523284,2023-03-01 07:21:18,2023-03-01 07:37:28.811872
1523285,2023-03-01 07:22:11,2023-03-01 08:12:51.906470
1523286,2023-03-01 07:22:55,2023-03-01 07:38:35.997604
1523287,2023-03-01 07:25:29,2023-03-01 07:40:29.326472
1523288,2023-03-01 07:27:25,2023-03-01 07:42:48.380637
1523289,2023-03-01 07:29:17,2023-03-01 07:48:23.572168
1523290,2023-03-01 07:30:47,2023-03-01 07:46:04.118175
1523291,2023-03-01 07:30:50,2023-03-01 07:46:16.109246
1523292,2023-03-01 07:36:22,2023-03-01 07:52:51.169132
1523293,2023-03-01 07:41:47,2023-03-01 08:00:52.861749
1523294,2023-03-01 07:44:23,2023-03-01 08:01:55.613577
1523295,2023-03-01 07:45:39,2023-03-01 08:01:03.098345
1523296,2023-03-01 07:47:39,2023-03-01 08:08:28.938687
1523297,2023-03-01 07:49:41,2023-03-01 08:04:49.246086
1523298,2023-03-01 07:50:04,2023-03-01 08:05:15.036648
1523299,2023-03-01 07:56:14,2023-03-01 08:23:11.182088
1523300,2023-03-01 07:56:23,2023-03-01 08:11:49.418665
1523301,2023-03-01 07:57:50,2023-03-01 08:12:51.236977
1523302,2023-03-01 08:01:15,2023-03-01 08:25:47.896062
1523303,2023-03-01 08:07:44,2023-03-01 08:23:22.045939
1523304,2023-03-01 08:07:47,2023-03-01 08:23:40.695771
1523305,2023-03-01 08:12:56,2023-03-01 08:28:05.982918
1523306,2023-03-01 08:13:05,2023-03-01 08:28:07.153311
1523307,2023-03-01 08:13:36,2023-03-01 08:28:36.682679
1523308,2023-03-01 08:34:33,2023-03-01 08:50:04.413257
1523309,2023-03-01 08:42:49,2023-03-01 08:57:52.297657
1523310,2023-03-01 08:43:04,2023-03-01 08:58:06.830231
1523311,2023-03-01 08:44:36,2023-03-01 09:00:12.030922
1523312,2023-03-01 08:45:28,2023-03-01 09:04:20.871133
1523313,2023-03-01 08:46:11,2023-03-01 09:01:34.369634
1523314,2023-03-01 08:51:57,2023-03-01 09:07:07.423988
1523315,2023-03-01 08:54:17,2023-03-01 09:09:57.608458
1523316,2023-03-01 09:01:33,2023-03-01 09:16:49.936759
1523317,2023-03-01 09:04:18,2023-03-01 09:25:57.658024
1523318,2023-03-01 09:07:12,2023-03-01 09:24:11.882157
1523319,2023-03-01 09:10:20,2023-03-01 09:25:49.649410
1523320,2023-03-01 09:21:14,2023-03-01 09:36:27.629157
1523321,2023-03-01 09:21:22,2023-03-01 09:36:30.289531
1523322,2023-03-01 09:25:06,2023-03-01 09:40:55.208835
1523323,2023-03-01 09:30:24,2023-03-01 09:46:24.453294
1523324,2023-03-01 09:30:41,2023-03-01 09:46:39.226342
1523325,2023-03-01 09:31:06,2023-03-01 09:49:57.935606
1523326,2023-03-01 09:38:22,2023-03-01 09:53:36.182817
1523327,2023-03-01 09:41:16,2023-03-01 10:00:19.242208
1523328,2023-03-01 09:41:51,2023-03-01 09:57:51.670643
1523329,2023-03-01 09:43:27,2023-03-01 09:58:46.070022
1523330,2023-03-01 09:44:26,2023-03-01 10:00:18.086572
1523331,2023-03-01 09:48:25,2023-03-01 10:06:28.884074
1523332,2023-03-01 09:55:55,2023-03-01 10:12:48.036040
1523333,2023-03-01 09:55:57,2023-03-01 10:25:33.412654
1523334,2023-03-01 10:02:36,2023-03-01 10:19:30.962273
1523335,2023-03-01 10:05:08,2023-03-01 10:20:33.076999
1523336,2023-03-01 10:05:46,2023-03-01 10:20:47.904571
1523337,2023-03-01 10:07:47,2023-03-01 10:28:16.598596
1523338,2023-03-01 10:12:06,2023-03-01 10:27:20.140941
1523339,2023-03-01 10:14:19,2023-03-01 10:38:47.254749
1523340,2023-03-01 10:15:38,2023-03-01 10:32:05.401650
1523341,2023-03-01 10:16:28,2023-03-01 10:31:39.411323
1523342,2023-03-01 10:20:06,2023-03-01 10:35:37.345889
1523343,2023-03-01 10:25:20,2023-03-01 10:40:34.823663
1523344,2023-03-01 10:25:39,2023-03-01 10:40:45.963277
1523345,2023-03-01 10:32:11,2023-03-01 10:47:13.256538
1523346,2023-03-01 10:32:12,2023-03-01 10:47:24.868907
1523347,2023-03-01 10:32:36,2023-03-01 10:47:51.755285
1523348,2023-03-01 10:34:02,2023-03-01 10:49:35.418693
1523349,2023-03-01 10:35:30,2023-03-01 10:50:32.465928
1523350,2023-03-01 10:37:45,2023-03-01 10:53:25.309631
1523351,2023-03-01 10:41:46,2023-03-01 10:57:22.361677
1523352,2023-03-01 10:42:02,2023-03-01 11:01:22.891192
1523353,2023-03-01 10:44:47,2023-03-01 11:00:26.195747
1523354,2023-03-01 10:47:45,2023-03-01 11:05:41.571819
1523355,2023-03-01 10:47:50,2023-03-01 11:15:47.158323
1523356,2023-03-01 10:48:58,2023-03-01 11:06:16.045255
1523357,2023-03-01 10:53:07,2023-03-01 11:12:09.736801
1523358,2023-03-01 10:57:15,2023-03-01 11:12:17.863835
1523359,2023-03-01 10:58:46,2023-03-01 11:14:57.125501
1523360,2023-03-01 10:59:44,2023-03-01 11:16:11.948615
1523361,2023-03-01 11:05:00,2023-03-01 11:20:57.208236
1523362,2023-03-01 11:06:38,2023-03-01 11:32:19.168049
1523363,2023-03-01 11:08:02,2023-03-01 11:25:11.486299
1523364,2023-03-01 11:08:27,2023-03-01 11:23:57.420916
1523365,2023-03-01 11:08:29,2023-03-01 11:23:37.792801
1523366,2023-03-01 11:09:47,2023-03-01 11:25:27.584374
1523367,2023-03-01 11:10:17,2023-03-01 11:25:39.350535
1523368,2023-03-01 11:11:41,2023-03-01 11:27:07.576900
1523369,2023-03-01 11:13:34,2023-03-01 11:30:06.077259
1523370,2023-03-01 11:19:26,2023-03-01 11:34:29.048426
1523371,2023-03-01 11:19:40,2023-03-01 11:40:38.872945
1523372,2023-03-01 11:20:21,2023-03-01 12:01:21.359545
1523373,2023-03-01 11:29:25,2023-03-01 11:45:06.344884
1523374,2023-03-01 11:30:11,2023-03-01 11:46:43.794412
1523375,2023-03-01 11:31:53,2023-03-01 11:47:11.566833
1523376,2023-03-01 11:32:26,2023-03-01 11:49:24.403934
1523377,2023-03-01 11:34:25,2023-03-01 11:50:30.212214
1523378,2023-03-01 11:40:35,2023-03-01 12:04:30.563649
1523379,2023-03-01 11:40:48,2023-03-01 11:56:25.861479
1523380,2023-03-01 11:45:04,2023-03-01 12:00:18.020721
1523381,2023-03-01 11:47:25,2023-03-01 12:02:29.721914
1523382,2023-03-01 11:47:41,2023-03-01 12:05:10.315954
1523383,2023-03-01 11:48:29,2023-03-01 12:30:57.713993
1523384,2023-03-01 11:48:54,2023-03-01 12:04:22.521228
1523385,2023-03-01 11:49:16,2023-03-01 12:33:12.184150
1523386,2023-03-01 11:56:01,2023-03-01 12:11:42.442097
1523387,2023-03-01 11:56:36,2023-03-01 12:15:57.306039
1523388,2023-03-01 11:57:25,2023-03-01 12:14:10.881716
1523389,2023-03-01 11:57:30,2023-03-01 12:14:28.737727
1523390,2023-03-01 12:04:08,2023-03-01 12:24:56.715928
1523391,2023-03-01 12:04:41,2023-03-01 12:20:02.728797
1523392,2023-03-01 12:05:24,2023-03-01 12:20:33.395081
1523393,2023-03-01 12:05:25,2023-03-01 12:21:30.208179
1523394,2023-03-01 12:16:12,2023-03-01 12:31:33.797367
1523395,2023-03-01 12:17:05,2023-03-01 12:32:36.419739
1523396,2023-03-01 12:23:32,2023-03-01 12:38:32.257187
1523397,2023-03-01 12:24:53,2023-03-01 12:41:22.478754
1523398,2023-03-01 12:29:17,2023-03-01 12:44:40.113836
1523399,2023-03-01 12:31:25,2023-03-01 12:46:30.513405
1523400,2023-03-01 12:36:11,2023-03-01 12:51:32.179768
1523401,2023-03-01 12:43:46,2023-03-01 13:01:07.470384
1523402,2023-03-01 12:46:06,2023-03-01 13:01:35.857138
1523403,2023-03-01 12:48:19,2023-03-01 13:03:38.239685
1523404,2023-03-01 12:50:03,2023-03-01 13:05:03.033868
1523405,2023-03-01 12:50:50,2023-03-01 13:06:58.178092
1523406,2023-03-01 12:55:21,2023-03-01 13:10:32.964993
1523407,2023-03-01 12:57:56,2023-03-01 13:15:45.942758
1523408,2023-03-01 12:59:58,2023-03-01 13:16:52.936119
1523409,2023-03-01 13:00:34,2023-03-01 13:15:34.668526
1523410,2023-03-01 13:03:31,2023-03-01 13:18:35.095294
1523411,2023-03-01 13:03:46,2023-03-01 13:19:10.149964
1523412,2023-03-01 13:05:17,2023-03-01 13:22:25.633270
1523413,2023-03-01 13:08:56,2023-03-01 13:24:07.662861
1523414,2023-03-01 13:10:00,2023-03-01 13:35:38.541928
1523415,2023-03-01 13:16:40,2023-03-01 13:32:30.214772
1523416,2023-03-01 13:17:35,2023-03-01 13:32:47.336553
1523417,2023-03-01 13:18:30,2023-03-01 13:34:03.064487
1523418,2023-03-01 13:18:46,2023-03-01 13:38:06.736575
1523419,2023-03-01 13:19:39,2023-03-01 13:34:53.430973
1523420,2023-03-01 13:19:59,2023-03-01 13:35:28.085918
1523421,2023-03-01 13:28:32,2023-03-01 13:43:44.380033
1523422,2023-03-01 13:32:01,2023-03-01 13:47:02.865307
1523423,2023-03-01 13:32:15,2023-03-01 13:47:39.081654
1523424,2023-03-01 13:36:14,2023-03-01 13:52:14.468137
1523425,2023-03-01 13:37:27,2023-03-01 13:55:50.630032
1523426,2023-03-01 13:37:32,2023-03-01 13:53:14.077100
1523427,2023-03-01 13:39:51,2023-03-01 13:55:02.900944
1523428,2023-03-01 13:47:22,2023-03-01 14:03:07.164110
1523429,2023-03-01 13:49:24,2023-03-01 14:05:16.152906
1523430,2023-03-01 13:51:22,2023-03-01 14:06:48.479896
1523431,2023-03-01 13:56:08,2023-03-01 14:11:14.003853
1523432,2023-03-01 13:59:57,2023-03-01 14:15:02.453494
1523433,2023-03-01 14:00:11,2023-03-01 14:15:23.298715
1523434,2023-03-01 14:01:15,2023-03-01 14:17:07.013047
1523435,2023-03-01 14:03:44,2023-03-01 14:18:51.584770
1523436,2023-03-01 14:04:38,2023-03-01 14:19:52.422217
1523437,2023-03-01 14:07:43,2023-03-01 14:22:51.349773
1523438,2023-03-01 14:10:40,2023-03-01 14:26:36.683863
1523439,2023-03-01 14:12:48,2023-03-01 14:28:19.269119
1523440,2023-03-01 14:16:26,2023-03-01 14:35:35.207581
1523441,2023-03-01 14:18:01,2023-03-01 14:34:15.513446
1523442,2023-03-01 14:18:02,2023-03-01 14:33:03.069632
1523443,2023-03-01 14:18:43,2023-03-01 14:34:03.249466
1523444,2023-03-01 14:20:38,2023-03-01 14:35:47.630054
1523445,2023-03-01 14:21:05,2023-03-01 14:37:28.732580
1523446,2023-03-01 14:23:03,2023-03-01 14:48:37.081177
1523447,2023-03-01 14:23:11,2023-03-01 14:38:20.663550
1523448,2023-03-01 14:23:29,2023-03-01 14:39:09.220872
1523449,2023-03-01 14:30:39,2023-03-01 14:54:06.192734
1523450,2023-03-01 14:35:19,2023-03-01 14:52:18.652436
1523451,2023-03-01 14:35:38,2023-03-01 14:51:05.670137
1523452,2023-03-01 14:40:21,2023-03-01 14:57:13.395350
1523453,2023-03-01 14:41:59,2023-03-01 15:03:13.275893
1523454,2023-03-01 14:43:01,2023-03-01 14:58:53.184312
1523455,2023-03-01 14:44:53,2023-03-01 15:11:53.376980
1523456,2023-03-01 14:52:07,2023-03-01 15:07:22.270492
1523457,2023-03-01 14:52:32,2023-03-01 15:31:30.379073
1523458,2023-03-01 14:52:57,2023-03-01 15:09:05.891574
1523459,2023-03-01 15:03:05,2023-03-01 15:18:43.513943
1523460,2023-03-01 15:04:37,2023-03-01 15:21:48.621173
1523461,2023-03-01 15:07:33,2023-03-01 15:24:14.783838
1523462,2023-03-01 15:10:00,2023-03-01 15:31:02.798707
1523463,2023-03-01 15:15:28,2023-03-01 15:30:44.132136
1523464,2023-03-01 15:15:49,2023-03-01 15:40:08.161603
1523465,2023-03-01 15:16:01,2023-03-01 15:31:25.473336
1523466,2023-03-01 15:19:29,2023-03-01 15:34:39.190605
1523467,2023-03-01 15:20:44,2023-03-01 15:35:44.462086
1523468,2023-03-01 15:29:51,2023-03-01 15:45:55.399651
1523469,2023-03-01 15:30:30,2023-03-01 15:47:34.074922
1523470,2023-03-01 15:38:32,2023-03-01 15:55:11.964786
1523471,2023-03-01 15:39:06,2023-03-01 15:54:18.867426
1523472,2023-03-01 15:41:31,2023-03-01 15:57:28.933100
1523473,2023-03-01 15:41:54,2023-03-01 15:57:24.063546
1523474,2023-03-01 15:43:21,2023-03-01 15:58:31.382699
1523475,2023-03-01 15:44:07,2023-03-01 15:59:15.917609
1523476,2023-03-01 15:45:30,2023-03-01 16:00:46.303534
1523477,2023-03-01 15:50:18,2023-03-01 16:08:30.207516
1523478,2023-03-01 15:50:42,2023-03-01 16:12:45.466003
1523479,2023-03-01 15:56:12,2023-03-01 16:11:32.790321
1523480,2023-03-01 15:57:15,2023-03-01 16:12:47.090064
1523481,2023-03-01 16:07:04,2023-03-01 16:22:23.368234
1523482,2023-03-01 16:10:43,2023-03-01 16:25:59.097264
1523483,2023-03-01 16:17:07,2023-03-01 16:32:07.497398
1523484,2023-03-01 16:22:38,2023-03-01 16:37:39.126437
1523485,2023-03-01 16:28:19,2023-03-01 16:43:29.111747
1523486,2023-03-01 16:31:56,2023-03-01 16:47:53.835418
1523487,2023-03-01 16:33:48,2023-03-01 16:49:02.151933
1523488,2023-03-01 16:34:43,2023-03-01 16:53:52.350062
1523489,2023-03-01 16:39:41,2023-03-01 16:55:44.979983
1523490,2023-03-01 16:39:46,2023-03-01 16:55:27.230221
1523491,2023-03-01 16:39:55,2023-03-01 16:58:01.419367
1523492,2023-03-01 16:40:43,2023-03-01 16:56:37.163907
1523493,2023-03-01 16:41:41,2023-03-01 16:57:11.895661
1523494,2023-03-01 16:49:16,2023-03-01 17:07:21.347122
1523495,2023-03-01 16:52:06,2023-03-01 17:09:00.195597
1523496,2023-03-01 16:56:14,2023-03-01 17:11:37.980657
1523497,2023-03-01 16:57:29,2023-03-01 17:12:47.804847
1523498,2023-03-01 16:58:30,2023-03-01 17:15:43.809039
1523499,2023-03-01 16:58:56,2023-03-01 17:14:04.353376
1523500,2023-03-01 17:02:42,2023-03-01 17:25:11.639302
1523501,2023-03-01 17:03:19,2023-03-01 17:19:11.524090
1523502,2023-03-01 17:07:53,2023-03-01 17:23:24.428465
1523503,2023-03-01 17:14:12,2023-03-01 17:33:46.999768
1523504,2023-03-01 17:16:50,2023-03-01 17:32:40.868232
1523505,2023-03-01 17:18:06,2023-03-01 17:33:41.998464
1523506,2023-03-01 17:20:30,2023-03-01 17:36:16.345031
1523507,2023-03-01 17:32:00,2023-03-01 17:47:50.173042
1523508,2023-03-01 17:32:40,2023-03-01 17:48:06.783369
1523509,2023-03-01 17:37:24,2023-03-01 17:53:01.992143
1523510,2023-03-01 17:38:13,2023-03-01 17:56:30.291654
1523511,2023-03-01 17:38:39,2023-03-01 18:05:27.177996
1523512,2023-03-01 17:40:23,2023-03-01 17:55:55.949354
1523513,2023-03-01 17:42:20,2023-03-01 17:59:45.294578
1523514,2023-03-01 17:43:13,2023-03-01 17:58:21.126445
1523515,2023-03-01 17:48:56,2023-03-01 18:13:33.959495
1523516,2023-03-01 17:55:43,2023-03-01 18:11:04.894987
1523517,2023-03-01 17:59:14,2023-03-01 18:14:18.277903
1523518,2023-03-01 18:04:21,2023-03-01 18:19:28.186463
1523519,2023-03-01 18:05:17,2023-03-01 19:46:42.833697
1523520,2023-03-01 18:17:51,2023-03-01 18:33:50.792877
1523521,2023-03-01 18:23:00,2023-03-01 18:39:58.678906
1523522,2023-03-01 18:28:19,2023-03-01 18:47:47.543124
1523523,2023-03-01 18:29:45,2023-03-01 18:45:55.290637
1523524,2023-03-01 18:31:27,2023-03-01 18:48:00.270603
1523525,2023-03-01 18:39:10,2023-03-01 18:55:43.865070
1523526,2023-03-01 18:39:52,2023-03-01 19:26:50.712489
1523527,2023-03-01 18:42:19,2023-03-01 18:57:26.030372
1523528,2023-03-01 18:44:48,2023-03-01 19:01:13.115322
1523529,2023-03-01 18:46:06,2023-03-01 19:04:47.906773
1523530,2023-03-01 18:53:35,2023-03-01 19:09:59.477159
1523531,2023-03-01 18:57:05,2023-03-01 19:12:11.535055
1523532,2023-03-01 18:58:37,2023-03-01 19:13:58.779473
1523533,2023-03-01 19:11:28,2023-03-01 19:27:06.872294
