input,output
38.76096865,-92.0701652
23.6333313,-91
41.77981105,-82.24312547
9.326280864,-76.67718954
29.88126681,-81.76071102
19.6333313,-91
4.281192914,-79.13113654
38.3340716,-102.6265059
27.65799788,-92.30237169
18.6333313,-92
11.4402662,-93.35873189
10.69926433,-88.34459172
32.49060741,-94.00588663
14.6333313,-94
-4.280801096,-107.3906961
-1.49501322,-96.95129583
8.068657372,-98.5541688
12.6333313,-95
1.087743932,-98.64740582
9.251402933,-97.29753278
24.94719895,-79.05284092
8.633331299,-95
0.791422045,-109.7974569
4.571667692,-89.92263364
11.47141192,-80.7611699
4.633331299,-95
-1.051436676,-108.9254203
6.438098539,-86.71419203
-11.76276481,-104.8515033
2.633331299,-95
-7.919733581,-114.8739104
17.64139508,-86.95520396
-9.738644468,-96.01822054
0.633331299,-95
6.915752102,-79.15602534
13.62445416,-85.2800492
1.736339855,-102.4235968
-1.366668701,-95
-1.374273213,-104.595355
0.64118964,-94.94198768
0.106496484,-76.12857598
-7.366668701,-90
-14.87957283,-74.68968573
-17.0239326,-99.37143457
-25.3749258,-109.1865689
-9.366668701,-89
-20.04998524,-70.73224956
-4.886975592,-85.02910025
-19.02544827,-84.10975258
-10.3666687,-88
-9.831413173,-83.71138609
4.495311879,-77.77117932
-24.05761755,-73.51940597
-10.3666687,-87
-10.33320029,-68.39223395
-7.586734908,-68.74341962
-29.9591628,-88.49031795
-13.3666687,-83
-22.71384998,-79.09037446
-20.2581638,-67.38011171
-21.28916616,-86.45226803
-15.3666687,-75
-27.9720297,-60.64073649
-5.380170497,-71.964687
-26.13076321,-57.95329699
-15.3666687,-71
-18.07547571,-84.61068079
-28.14901322,-58.05142691
-7.54360389,-70.5952053
-15.3666687,-70
-27.8216707,-86.90334765
-10.50513206,-70.13738294
-4.94489612,-87.15485176
-17.3666687,-69
-29.5515719,-72.45230268
-4.599181316,-78.71710201
-6.532764644,-68.25124784
-19.3666687,-65
-15.74061735,-60.13080283
-1.367235481,-55.57029679
-18.18428688,-59.55571163
-20.3666687,-62
-13.74639792,-74.55130567
-0.734579565,-66.26324993
-4.363981205,-79.40847684
-23.3666687,-59
-23.99542043,-55.01953723
-29.64659076,-41.36618892
-26.07044108,-73.41988189
-26.3666687,-57
-24.50385739,-39.15015955
-39.21226144,-53.05481656
-29.64617392,-76.82663329
-28.3666687,-53
-20.80678512,-40.45534263
-23.5597799,-64.11540144
-48.30772156,-55.94718956
-31.3666687,-49
-29.80773841,-46.96889125
-35.81292848,-50.58788651
-38.35400437,-42.12314723
-31.3666687,-49
-17.76268863,-40.01850654
-12.55119033,-48.64469176
-22.74925523,-39.74783596
-33.3666687,-49
-29.39168794,-46.07263753
-49.10943583,-31.43368118
-32.82816695,-48.39261806
-35.3666687,-45
-15.70152764,-55.37269216
-45.27639813,-36.62275691
-37.99251599,-38.9846442
-42.3666687,-35
-22.5789948,-23.37201761
-30.68203446,-48.61858991
-31.4543411,-42.58769621
-47.3666687,-33
-49.49748501,-39.574166
-39.18103585,-18.62976557
-36.61878258,-39.06074847
-51.3666687,-32
-44.54854403,-42.30241871
-33.48191305,-36.36739914
-49.76179249,-47.6389731
-53.3666687,-32
-48.07750497,-45.9518156
-53.67730608,-44.98280833
-60.79869898,-16.31893308
-57.3666687,-32
-38.25744811,-12.1322208
-37.49990558,-23.34760138
-74.20962435,-19.80593228
-62.3666687,-32
-45.49570326,-21.2651834
-47.92524922,-37.27728491
-50.35776595,-21.48768832
-65.3666687,-32
-59.38261425,-35.91711333
-49.71727941,-41.25077981
-78.34819917,-21.44556986
-71.3666687,-32
-78.25126087,-12.43114176
-80.26399352,-41.00348809
-61.42014737,-41.60278387
-75.3666687,-32
-83.80562936,-40.30944733
-78.53269869,-24.05823324
-69.32470996,-44.6311089
-77.3666687,-32
-60.15115341,-40.68913166
-72.61050739,-38.24609882
-95.85964665,-28.18979637
-82.3666687,-32
-97.78681233,-46.26979181
-80.8285034,-29.50161897
-92.21708023,-43.58766083
-85.3666687,-32
-68.6556756,-45.33323821
-92.33092549,-14.5555594
-101.1645293,-30.95901824
-88.3666687,-33
-79.85176417,-16.22572101
-93.69379219,-44.60348444
-107.3712238,-17.58402072
-93.3666687,-37
-74.88682325,-46.5590035
-80.89329216,-46.33208511
-83.94082084,-54.57363328
-98.3666687,-40
-82.99185534,-36.63841721
-92.85244916,-57.01265872
-99.61449407,-39.33291236
-101.3666687,-43
-82.13480586,-27.39577296
-82.10852181,-40.70900325
-102.9599835,-34.30393051
-104.3666687,-46
-88.49009558,-56.53663938
-118.207816,-47.06586548
-115.2680019,-48.83725613
-107.3666687,-48
-113.0774736,-40.25382252
-105.3216787,-42.40668762
-102.5273423,-43.49923691
-108.3666687,-51
-121.3034709,-41.23381889
-122.8894421,-70.99206607
-120.4704177,-33.46900187
-110.3666687,-54
-130.275202,-62.58695485
-120.3682352,-36.97238581
-117.0776895,-38.58972898
-112.3666687,-58
-113.8530875,-57.79806578
-105.8931805,-70.36698747
-106.1991895,-69.89604131
-112.3666687,-63
-115.6157482,-82.00397562
-97.08151938,-67.94893329
-108.7430662,-55.68598191
-114.3666687,-67
-111.5045038,-61.34780894
-113.3131116,-67.20442906
-133.1302957,-72.42753461
-117.3666687,-75
-113.2282255,-65.45754549
-109.2405345,-66.8321257
-115.7036313,-85.64976455
-119.3666687,-82
-102.9694539,-95.01818683
-121.0602206,-76.65343531
-109.054583,-92.51726482
-119.3666687,-85
-123.0032269,-81.18258381
-113.3363486,-92.94112847
-121.6504035,-75.56133809
-119.3666687,-88
-110.6765727,-103.5617973
-134.9628386,-81.54003728
-112.6760028,-72.78638358
-120.3666687,-90
-115.7902254,-93.38786235
-119.9399514,-97.62883019
-103.2930966,-99.66680262
-123.3666687,-95
-116.8199204,-76.86291803
-117.3589526,-96.46958507
-130.2622522,-98.36786265
-124.3666687,-100
-110.2656775,-104.7315056
-131.0213734,-102.4227774
-125.3666687,-106
-112.477425,-120.613037
-114.9133489,-101.9642026
-113.9631332,-116.3870293
-126.3666687,-111
-117.3169196,-113.2546738
-110.1762618,-129.7094883
-123.0476267,-105.7111439
-129.3666687,-117
-120.2563543,-112.1053257
-130.4357473,-127.2402123
-120.0696243,-109.4301784
-130.3666687,-120
-133.0584901,-126.6463197
-120.8121797,-132.422167
-131.3666687,-123
-130.2553185,-118.6922959
-131.3666687,-125
-129.5656239,-122.6300049
-131.3666687,-125
-134.3127021,-109.9741647
-134.4079884,-125.9214973
22.6333313,-100
28.12943724,-108.1422957
24.26643855,-119.6713673
38.33481048,-103.2039555
18.6333313,-100
23.44313647,-118.7931916
5.314847385,-111.9352713
19.28746973,-114.4556708
14.6333313,-100
10.38221385,-110.7757432
30.55645369,-97.72882784
33.21051442,-111.0792694
14.6333313,-99
33.35140512,-116.5886395
14.32618014,-100.0111984
3.510614661,-86.65353384
16.6333313,-98
9.891970701,-92.13509303
17.78455394,-87.88028986
30.90738601,-112.4889077
18.6333313,-96
21.5688818,-95.29948462
14.00569978,-110.0248832
37.69257656,-110.0256561
19.6333313,-95
18.74663085,-87.6300223
35.31062821,-92.47895181
3.627461983,-88.52050974
20.6333313,-95
11.34924105,-114.4033845
24.42905623,-112.9889137
7.225552964,-97.37614153
20.6333313,-95
8.177066169,-90.4678524
12.46140367,-93.31922985
32.71991682,-102.5771501
16.6333313,-95
29.87964736,-95.87848863
30.92564812,-75.9911003
34.84389896,-82.94304225
12.6333313,-95
18.74578211,-95.78266705
31.89402471,-89.25204159
0.538796012,-82.69796248
6.633331299,-95
16.86079493,-106.952475
6.105349973,-75.11907372
-4.688294113,-88.86853058
3.633331299,-95
8.59941158,-79.29374542
12.62377945,-109.1310987
-14.43459137,-76.38448185
2.633331299,-95
22.56912443,-77.95105379
10.86377566,-107.8503136
10.60693492,-110.2991597
3.633331299,-95
-4.718673453,-80.06462077
-9.311159911,-104.4883031
4.080959592,-80.74906409
5.633331299,-95
10.00268668,-90.40141463
-3.712000211,-78.95145025
15.04195785,-109.0310113
6.633331299,-95
3.629728968,-84.51644626
2.565891135,-111.5959004
15.73778184,-110.995411
11.6333313,-95
-6.995212426,-81.87872943
-7.573154044,-102.188449
5.749236913,-80.02676665
17.6333313,-93
9.62685923,-110.9070902
33.28813471,-79.68386802
6.691872301,-85.89214399
21.6333313,-93
10.00817504,-107.4978698
37.49183341,-74.86354732
11.49336914,-112.8431645
23.6333313,-93
41.11722671,-107.6114178
26.69277228,-111.7415295
42.9293399,-93.57196728
24.6333313,-91
11.63291836,-72.70879035
25.41018353,-76.38090212
29.53730396,-82.79693428
31.6333313,-87
29.09145773,-104.9430524
17.14529595,-101.7268941
42.21853769,-98.00065479
35.6333313,-83
39.56147339,-98.94339399
39.91887324,-75.29712652
33.2061394,-68.74725621
38.6333313,-80
38.50389159,-75.0829652
42.35972893,-98.47469254
24.60094267,-88.19607787
40.6333313,-77
59.24870365,-76.93193485
60.45821799,-89.16489504
49.25775686,-80.83279624
46.6333313,-68
48.92596342,-70.89999485
30.87210412,-61.0386474
53.52744621,-69.39344835
47.6333313,-64
66.56953284,-53.8093769
67.02634151,-57.60861351
55.75040247,-46.88955057
49.6333313,-61
31.5300926,-47.60439125
50.60810202,-42.77424187
43.9454577,-43.93094584
55.6333313,-54
36.34061907,-73.60074006
75.48923038,-69.81797981
36.13124575,-49.6618493
60.6333313,-48
73.48191198,-34.23120588
43.26677304,-47.33702704
48.8754613,-64.74799116
65.6333313,-41
79.18324493,-38.37480587
76.49460775,-37.96194713
52.44028597,-21.91068855
68.6333313,-33
76.31583819,-50.37684999
84.89961021,-36.07478432
71.66703876,-46.82643949
73.6333313,-25
59.16642761,-26.83255859
87.46256411,-6.517082831
85.65688476,-27.60287653
76.6333313,-15
85.56821248,-10.23862356
66.98695523,-8.607935199
79.84932446,-29.81635164
80.6333313,2
66.97194407,17.06288239
72.0975191,5.309929105
100.2333307,-4.142243776
83.6333313,12
71.40495673,10.630039
77.46032343,24.35604268
84.97150263,27.49095875
88.6333313,23
97.08220181,15.8573514
75.24923123,37.27426828
87.36784248,28.82534034
94.6333313,37
112.5669758,17.4217392
82.84174354,29.67987567
112.1657774,30.2054282
97.6333313,44
113.9585976,54.17644488
92.12124855,50.31788868
108.045166,59.97522255
101.6333313,53
86.8218944,41.61417179
107.8566839,62.34531026
120.202913,57.64738173
108.6333313,71
92.86139539,88.87141813
114.5734398,75.34482182
125.4483908,60.22634481
110.6333313,83
120.898186,73.8479844
108.1781464,101.0488702
128.0107858,80.51237343
111.6333313,89
128.0365709,89.42088463
128.8316447,84.79352674
99.68624243,96.37932413
112.6333313,95
117.0675029,84.49082246
130.5090244,113.8706782
106.9245151,92.53707879
113.6333313,104
117.5945747,90.88754792
114.7106553,118.3510094
98.14039645,91.3383484
113.6333313,107
98.66884203,96.856977
132.9749039,120.2647247
98.20926496,111.4769582
113.6333313,109
110.0081995,108.4806004
107.0815077,123.148918
116.614886,105.6093477
114.6333313,112
112.19052,101.023864
130.215865,111.9385401
115.2538998,97.55392008
116.6333313,118
107.3228892,126.0529894
122.8318272,129.4342905
134.6057752,123.6196799
116.6333313,118
115.8623022,118.5645896
117.3661993,99.54481995
99.68314101,129.2721534
-125.3666687,131
-114.5086541,132.4248018
-125.3666687,131
-125.3666687,131
-126.0291139,123.060597
-106.0936186,118.5324225
-125.3666687,131
-116.197531,126.190248
-125.3666687,131
-111.5296637,133.5792776
-125.3666687,131
-132.3592378,112.2467158
-125.3666687,131
-110.7844471,128.9401948
-112.4678253,131.3747382
-125.3666687,131
-117.6094236,128.2496946
-125.3666687,131
-118.6323221,128.8125154
-124.3666687,121
-124.237735,124.3573968
-122.8132331,117.6900625
-125.9058982,122.2170125
-122.6572872,114.2331742
-124.3666687,121
-121.6878491,127.4447776
-130.8781192,124.3171326
-131.8832857,121.2661105
-123.3718491,123.189683
-115.3666687,121
-122.6576764,124.6992025
-122.8797923,125.8340136
-117.9455026,126.797385
-112.0184963,121.0963974
-115.3666687,121
-119.9542372,123.6091224
-109.9421548,127.1973936
-111.5153684,128.1708846
-110.3442214,123.0879499
-122.7406674,-130.5720846
-121.5314194,-129.9389289
-134.917019,-130.1418321
-120.6059511,-125.7609321
-129.8947807,-112.7852137
-134.3666687,-116
-115.5637388,-126.2676214
-132.0801614,-132.0322057
-133.3666687,-114
-119.5241123,-94.41985546
-125.743622,-107.4993237
-133.3666687,-113
-114.1008952,-117.674002
-131.3666687,-111
-113.2783381,-99.43907611
-133.8181748,-127.0636111
-121.6535425,-128.8850301
-127.3666687,-101
-108.4996398,-96.21628083
-111.2536771,-85.09071142
-124.3666687,-93
-119.1166023,-78.13927519
-114.4105263,-86.81404312
-122.3666687,-89
-131.9053601,-92.18557515
-109.2783685,-99.40238374
-105.5046405,-76.60555952
-122.3666687,-86
-112.2579067,-85.95867942
-111.0440481,-73.35306605
-126.6376399,-91.74695772
-120.3666687,-81
-125.0856202,-94.93958463
-103.409788,-83.93283857
-115.2626373,-80.04480123
-119.3666687,-80
-104.9065286,-95.37931257
-99.7125535,-66.36818522
-117.3666687,-75
-116.3328387,-57.15089931
-125.3821591,-81.82343674
-103.2199847,-59.9087513
-115.3666687,-70
